,dia1,dia2,radius1,radius2,radius3,radius4,radius5,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,judgement
591,10.03,10.08,24.8,30.98,29.86,5.92,19.97,66.58,21.91,36.2,100.15,124.52,179.57,38.19,14.73,21.72,1
592,9.19,10.55,25.74,30.21,28.93,6.55,20.91,64.89,21.24,37.21,101.44,123.91,180.82,37.07,15.93,22.09,0
593,10.09,9.97,25.0,31.09,30.1,5.92,20.02,66.38,22.11,35.98,99.75,125.2,180.63,38.18,14.91,21.93,1
594,10.0,9.98,24.82,31.09,29.96,5.98,20.13,66.39,21.88,36.14,100.05,125.4,179.33,37.83,15.13,22.28,1
595,10.05,10.01,24.82,31.09,30.19,5.97,19.81,66.18,21.94,36.01,100.16,124.88,180.79,38.14,15.05,21.78,1
596,10.06,9.96,25.07,31.05,29.91,5.95,19.98,66.14,22.3,36.27,100.21,124.57,179.7,38.07,15.24,21.91,1
597,10.74,8.75,25.15,31.69,29.49,5.17,21.19,66.59,21.97,34.91,98.61,126.25,181.47,38.93,16.14,20.9,0
598,8.88,9.17,24.09,30.67,30.03,5.29,19.11,66.59,22.19,36.97,100.85,126.1,180.88,38.21,15.5,22.44,0
599,9.98,9.92,24.84,31.0,29.81,5.96,20.12,66.04,21.96,35.88,99.51,125.25,180.15,38.19,14.79,21.78,1
600,8.6,10.22,25.5,29.86,31.05,6.66,18.92,66.54,22.12,36.32,99.79,123.8,181.57,39.29,15.55,22.08,0
601,10.94,9.05,25.94,31.69,30.38,4.99,20.65,67.29,21.38,35.69,99.24,126.13,179.53,37.58,14.82,22.08,1
602,9.41,9.21,23.22,29.74,29.73,4.5,19.16,65.6,21.26,34.13,99.03,123.26,179.12,36.41,14.6,21.53,0
603,10.31,10.24,24.44,31.42,31.07,6.54,20.61,65.16,22.58,36.34,101.33,125.69,178.24,38.81,15.67,20.85,1
604,10.04,10.03,24.91,31.1,30.0,5.91,19.84,66.4,21.81,36.05,100.0,125.06,180.19,38.24,15.09,21.89,1
605,9.92,10.09,25.01,31.1,29.99,6.09,20.07,65.82,21.98,36.23,100.42,124.54,179.29,37.73,15.29,22.02,1
606,10.97,10.58,24.24,31.55,28.82,5.25,20.48,65.42,22.3,35.0,99.37,124.71,181.55,37.44,13.92,22.06,1
607,9.94,10.01,25.13,31.07,29.83,5.94,19.84,66.37,22.07,36.25,99.73,125.05,179.5,37.96,14.72,22.02,1
608,9.41,8.78,23.02,30.38,28.72,4.33,19.21,65.08,21.62,34.67,98.85,124.35,179.01,36.21,13.14,21.64,0
609,9.92,10.03,25.12,31.06,30.06,6.06,19.95,66.4,21.97,35.79,99.92,125.12,180.6,37.78,15.23,21.87,1
610,10.01,9.99,25.18,30.9,30.04,6.03,20.04,66.58,21.78,36.18,100.48,125.39,179.57,38.07,15.28,21.78,1
611,10.04,9.12,24.61,29.89,29.85,6.19,18.85,67.02,21.35,36.75,98.8,125.68,180.05,37.08,15.67,23.23,1
612,9.91,9.93,25.07,30.92,30.1,6.06,20.1,66.09,22.06,36.04,100.09,125.21,179.79,37.79,14.93,21.9,1
613,10.05,9.92,25.18,30.88,30.12,6.07,19.86,66.44,21.77,36.19,99.97,124.91,179.7,38.09,15.08,21.91,1
614,9.99,9.95,25.02,30.82,29.87,5.96,20.13,65.71,22.07,36.07,99.65,124.6,179.42,38.0,15.28,21.89,1
615,10.06,9.93,24.99,31.11,29.97,5.92,19.93,66.53,22.02,35.86,100.29,125.03,179.41,37.71,14.76,21.96,1
616,10.53,9.12,24.48,30.79,29.42,6.3,20.51,67.49,22.88,34.84,100.74,125.57,179.52,37.03,14.41,21.06,0
617,9.91,9.91,25.1,30.94,29.83,6.09,20.03,66.14,22.01,35.97,100.45,125.31,179.61,38.22,14.85,21.91,1
618,10.33,9.58,25.47,31.15,31.09,7.04,19.89,65.64,23.02,36.79,99.7,124.1,180.91,38.39,14.05,22.9,0
619,9.91,10.06,25.11,31.12,30.01,6.04,20.09,66.43,21.83,36.07,100.44,124.54,180.26,38.12,15.15,22.28,1
620,10.58,9.56,24.89,29.61,31.08,5.94,19.44,65.46,22.83,36.09,100.66,124.22,178.33,37.17,15.56,20.75,0
621,8.79,10.36,24.03,31.3,30.67,5.87,19.25,65.91,23.14,34.89,100.75,123.5,181.55,39.27,14.94,22.44,1
622,8.97,10.45,24.95,32.15,29.19,5.0,19.29,65.11,21.16,37.05,99.58,125.24,181.06,39.05,14.12,21.59,1
623,10.04,10.0,24.86,30.84,29.9,5.94,19.93,65.83,22.03,36.06,99.71,124.96,179.43,37.86,14.8,22.03,1
624,10.77,11.12,25.36,32.92,30.52,7.09,21.75,65.28,22.42,36.45,100.74,126.26,181.12,38.92,16.61,23.8,0
625,10.72,8.81,24.93,30.36,29.0,5.39,19.97,64.84,20.88,35.77,99.72,124.31,179.26,37.99,14.37,22.7,1
626,10.03,10.01,25.01,30.98,30.07,5.9,20.13,65.64,22.21,35.86,100.28,125.2,180.33,37.85,14.96,22.24,1
627,10.06,10.01,25.1,30.82,30.19,5.92,19.85,66.52,22.1,35.7,99.89,124.99,179.83,37.78,15.16,21.97,1
628,10.05,10.08,25.16,30.96,29.9,5.98,20.16,66.55,21.76,35.86,100.09,125.36,179.73,37.97,14.92,22.21,1
629,9.92,10.07,25.19,31.02,29.99,6.05,20.07,66.32,21.93,35.88,99.96,125.35,180.19,37.93,14.95,22.14,1
630,9.97,9.98,25.2,31.06,29.97,5.98,19.83,66.27,22.28,35.73,99.68,124.96,179.37,37.9,15.23,21.81,1
631,9.95,9.95,25.17,31.2,30.0,5.91,20.04,66.4,21.71,36.29,100.4,125.29,179.52,37.9,15.0,21.92,1
632,9.99,10.0,24.91,30.85,29.81,5.97,19.85,66.46,21.81,35.83,100.17,124.81,179.21,37.95,15.01,22.17,1
633,9.93,10.08,25.18,31.17,30.18,6.03,19.99,66.57,22.23,36.07,99.78,125.14,180.48,37.92,15.21,22.2,1
634,9.92,10.03,25.03,30.97,29.93,6.03,20.18,66.41,21.9,35.77,99.91,124.99,180.4,37.98,15.12,21.96,1
635,10.0,9.93,24.98,31.2,30.15,5.97,20.09,66.18,21.78,36.1,100.28,125.46,179.56,37.92,15.09,21.81,1
636,9.94,10.03,25.05,30.8,29.9,6.04,20.07,66.18,22.03,35.77,99.63,125.36,180.59,37.71,15.24,22.15,1
637,9.98,10.03,24.92,30.92,29.92,6.07,19.92,65.74,22.15,36.11,100.05,124.85,179.8,38.23,15.0,22.01,1
638,9.98,10.01,25.11,30.99,29.94,5.94,20.18,65.74,21.96,36.02,100.02,125.28,179.91,38.17,15.16,22.13,1
639,8.62,10.78,24.67,31.64,29.48,4.92,19.96,66.7,20.71,35.79,98.81,123.8,181.76,37.55,13.86,22.07,0
640,10.04,10.02,24.83,31.08,29.93,6.08,20.03,66.21,21.77,36.18,100.33,124.83,180.72,37.84,14.75,22.05,1
641,10.76,8.55,25.23,32.03,29.47,6.74,19.98,66.1,23.01,35.74,101.01,125.1,179.04,37.35,14.28,21.22,0
642,10.06,10.07,25.04,30.95,29.91,6.02,19.99,66.51,21.81,35.86,100.45,124.59,179.51,38.04,15.0,22.01,1
643,10.85,8.85,24.61,29.55,28.9,7.01,20.51,65.92,20.94,35.49,100.64,125.02,179.64,37.1,14.07,23.27,1
644,9.95,10.01,25.12,31.03,30.13,5.93,20.01,66.09,21.74,35.82,100.16,125.16,179.55,38.07,14.98,21.98,1
645,10.01,10.02,25.14,30.91,29.96,5.97,19.91,66.35,21.96,36.24,100.29,124.79,180.8,38.12,14.79,21.86,1
646,9.95,9.95,25.14,31.04,30.03,5.94,20.06,66.15,22.22,36.09,100.31,125.16,180.8,37.78,15.27,21.78,1
647,10.05,9.92,24.95,31.16,30.1,5.97,20.14,66.06,22.11,36.08,100.23,124.76,180.01,37.75,15.04,22.17,1
648,10.03,10.06,24.87,30.89,29.87,6.09,20.18,66.34,21.89,36.06,100.35,125.41,179.56,37.77,14.93,22.18,1
649,10.72,10.24,24.61,31.97,29.66,5.71,19.1,65.27,21.82,35.48,99.55,126.12,178.29,38.03,15.68,22.08,0
650,9.97,9.95,24.81,30.87,30.06,6.06,20.0,66.23,21.95,36.23,99.79,125.17,180.06,38.11,14.93,21.88,1
651,9.2,10.4,24.36,31.93,29.49,6.39,19.63,67.06,22.53,36.98,100.99,123.94,179.53,38.2,15.38,22.41,0
652,10.04,9.97,25.08,30.95,29.95,5.95,19.93,66.11,21.86,36.21,100.34,124.6,180.5,38.04,15.16,21.95,1
653,8.6,10.17,24.38,29.75,29.32,5.62,19.64,65.8,22.16,35.62,98.68,123.59,179.33,37.71,16.13,20.73,1
654,9.71,8.63,23.69,29.54,28.31,4.64,19.6,64.0,21.64,35.64,98.47,124.11,179.13,37.65,14.57,20.7,0
655,9.99,10.09,24.9,30.83,30.0,5.94,20.1,65.62,21.91,35.9,99.76,124.72,179.73,37.81,14.88,21.88,1
656,10.28,10.91,24.56,31.59,29.62,6.31,21.0,67.0,22.88,37.09,101.14,126.06,179.08,36.89,15.09,22.27,0
657,9.33,9.8,24.65,31.7,30.01,6.86,19.48,66.56,22.47,35.99,99.99,125.1,181.1,39.06,13.98,20.74,0
658,10.37,10.86,25.97,31.87,30.48,6.22,21.26,64.21,22.55,37.58,100.78,125.84,181.46,39.7,16.78,23.56,0
659,9.99,10.04,25.01,31.09,30.13,5.93,19.81,66.1,22.05,35.84,99.92,124.87,179.96,38.2,15.11,22.15,1
660,9.29,8.24,24.11,30.31,28.78,5.33,19.36,64.54,21.22,35.25,98.13,124.15,178.7,37.2,13.58,21.66,0
661,9.21,9.73,24.33,30.85,30.66,5.56,20.68,64.72,22.61,34.77,99.57,123.67,178.6,36.84,14.96,21.83,1
662,9.97,9.96,24.94,31.09,30.08,6.05,20.0,66.38,21.88,35.86,100.5,124.52,179.28,37.8,14.71,21.79,1
663,10.09,10.04,24.94,31.15,30.19,5.99,19.82,66.61,22.01,35.8,100.05,125.11,179.31,38.15,15.17,21.76,1
664,10.02,10.06,24.86,30.84,30.05,5.93,19.88,66.39,21.86,35.79,100.05,124.81,180.31,38.03,15.24,22.09,1
665,9.94,10.08,25.02,31.11,30.06,5.97,20.16,65.95,22.13,36.05,100.16,125.14,179.38,37.79,14.85,22.19,1
666,10.03,10.06,24.84,30.95,29.85,5.99,20.0,66.1,21.73,36.14,100.06,124.54,180.31,38.27,15.04,22.14,1
667,9.14,10.84,24.74,29.61,30.14,5.51,19.66,65.37,21.28,35.72,100.91,126.3,178.91,37.88,14.5,21.15,0
668,9.98,10.02,25.14,31.13,30.13,6.1,20.08,66.21,22.02,35.83,100.26,124.65,180.31,38.07,15.06,21.98,1
669,10.02,10.0,25.06,31.02,29.82,5.97,20.03,66.28,22.12,35.85,99.84,124.75,180.48,38.2,14.84,21.9,1
670,10.53,10.6,25.58,32.35,30.98,7.47,21.04,64.1,22.33,37.73,101.2,126.68,180.93,39.21,15.47,23.04,0
671,8.96,8.8,25.95,31.7,30.29,6.62,20.03,65.71,21.14,36.29,101.21,123.67,179.39,39.27,13.91,20.73,1
672,10.04,9.9,24.94,31.18,30.16,6.03,20.19,65.7,21.71,36.15,100.32,125.39,180.14,37.72,14.92,21.91,1
673,9.98,10.02,25.02,31.1,29.89,6.08,20.19,66.46,22.17,35.73,100.09,125.26,179.68,37.97,15.11,21.98,1
674,9.7,8.88,25.24,29.6,29.03,5.4,20.3,66.25,23.12,36.45,98.8,126.19,179.96,38.79,14.17,22.27,1
675,8.93,8.79,24.11,30.76,29.26,5.35,19.63,65.37,20.3,34.6,99.09,124.09,178.36,36.53,13.48,20.22,0
676,10.07,10.04,24.96,30.95,30.06,5.96,20.03,65.66,22.03,35.92,100.27,124.58,179.3,37.8,15.28,21.93,1
677,10.09,10.05,24.98,30.89,30.08,6.04,19.88,65.71,22.11,35.8,100.2,125.41,179.49,38.08,14.9,22.28,1
678,9.99,9.96,25.06,31.11,29.88,6.02,20.12,65.71,21.88,36.17,99.78,125.47,180.48,38.0,15.28,22.07,1
679,9.91,10.04,24.94,30.94,29.95,5.91,20.16,66.21,21.72,35.75,100.37,124.94,179.21,37.86,15.11,22.07,1
680,10.14,8.64,25.93,31.04,30.43,5.23,19.84,66.93,22.09,35.3,99.36,126.35,181.16,38.18,14.44,22.29,0
681,10.85,11.04,26.86,32.44,30.9,6.25,20.75,64.73,23.9,37.07,101.18,125.64,181.85,40.75,16.48,22.99,0
682,8.27,8.68,23.95,29.37,28.86,5.38,18.88,64.15,20.36,34.14,98.56,123.15,178.07,36.42,14.52,21.29,0
683,9.99,9.94,25.05,31.03,30.18,6.09,20.19,66.1,22.04,35.82,100.04,124.58,179.49,37.94,15.13,21.95,1
684,10.06,9.9,25.08,31.1,30.01,6.0,19.88,65.96,22.07,35.82,100.04,125.43,180.09,37.76,14.98,22.08,1
685,9.93,9.91,24.86,31.09,29.82,5.98,20.14,66.24,22.17,35.98,99.64,125.17,180.37,38.16,15.01,21.94,1
686,10.06,10.09,25.08,31.18,29.85,6.02,20.09,66.11,22.27,36.03,99.92,124.74,180.19,37.74,15.28,22.16,1
687,9.91,10.0,24.95,30.94,30.15,6.04,19.93,65.91,21.76,35.96,100.01,124.71,180.44,37.75,15.21,21.82,1
688,10.04,9.92,24.9,30.97,30.04,6.02,20.06,66.27,21.86,35.95,99.51,124.76,180.03,38.27,14.98,22.14,1
689,10.22,8.66,25.43,31.03,31.0,6.57,20.55,66.19,21.27,37.03,99.93,125.61,178.6,37.75,14.87,22.78,1
690,11.12,10.85,26.31,31.51,30.24,7.43,21.13,64.59,22.45,37.26,100.78,126.91,181.09,40.89,16.48,23.59,0
691,9.93,9.94,24.91,30.92,29.92,6.07,20.08,66.16,22.06,36.12,100.14,124.59,180.3,37.93,15.22,21.91,1
692,10.09,10.06,25.17,31.15,29.81,5.95,19.86,66.04,21.85,35.92,100.06,125.36,180.21,37.74,15.1,21.9,1
693,10.05,9.93,24.89,30.85,29.87,5.91,20.1,66.07,21.93,36.18,99.86,124.75,180.28,38.22,15.13,21.88,1
694,10.64,10.18,24.03,29.97,28.84,5.86,19.57,64.93,21.72,35.31,100.08,125.0,179.65,37.31,15.14,22.23,0
695,9.84,9.05,24.04,31.69,29.64,6.19,20.12,66.87,22.62,35.66,100.41,124.58,180.56,37.22,15.12,22.17,1
696,9.92,9.91,25.06,31.17,30.2,5.99,20.02,66.08,21.96,35.71,99.51,125.44,179.7,37.92,15.06,21.94,1
697,10.68,8.96,25.93,31.91,31.18,5.47,20.4,67.0,20.86,36.77,99.4,126.23,179.43,37.42,14.64,21.12,1
698,10.09,10.01,24.97,31.09,29.91,5.92,19.89,66.24,22.03,35.99,100.05,124.77,179.31,38.09,15.24,22.13,1
699,9.92,9.93,24.87,30.87,29.99,5.94,20.18,65.86,21.72,35.78,99.9,124.98,180.28,38.24,14.94,21.99,1
700,9.99,10.0,24.81,30.85,30.04,6.01,20.13,65.91,21.98,35.89,99.59,125.15,179.89,38.24,14.72,22.3,1
701,10.05,9.93,24.97,31.06,30.03,5.9,19.97,66.15,22.13,36.23,100.45,125.14,180.47,38.22,15.01,22.05,1
702,9.16,8.14,24.08,30.57,28.84,5.3,18.53,65.55,20.0,34.32,98.1,123.91,178.73,36.53,13.03,21.33,0
703,9.9,10.06,25.2,31.16,30.15,5.93,20.05,65.76,21.9,36.1,99.58,124.85,179.38,38.2,14.9,21.94,1
704,10.09,9.97,24.81,31.12,29.91,5.99,19.92,66.34,22.17,35.82,99.83,125.11,179.42,37.74,15.0,21.85,1
705,10.63,9.44,25.11,30.18,30.76,7.08,20.59,64.78,22.57,35.23,99.03,125.98,179.54,38.17,15.66,23.08,1
706,10.0,10.1,25.0,30.85,29.86,5.93,20.13,66.56,22.0,36.25,100.41,125.35,180.44,38.24,14.87,22.11,1
707,10.01,10.07,24.94,31.2,29.96,6.07,20.01,66.0,22.2,36.09,99.52,125.39,179.74,38.27,14.7,22.01,1
708,8.37,9.0,24.33,29.48,28.15,4.25,19.72,64.84,20.37,34.6,98.48,124.34,178.74,36.44,13.09,21.31,0
709,9.98,10.04,25.01,31.17,29.88,5.93,20.13,66.29,21.7,36.28,100.49,125.19,179.9,37.81,14.99,21.77,1
710,9.09,8.78,23.81,30.41,28.74,4.13,18.61,65.4,21.23,34.73,99.07,123.87,178.21,36.2,13.58,20.39,0
711,10.0,9.91,25.14,31.2,30.15,5.93,19.81,65.89,21.81,35.77,100.45,124.77,179.84,37.86,14.81,22.21,1
712,10.0,9.96,25.14,30.91,30.18,5.9,20.04,65.73,21.98,36.2,99.99,124.86,179.39,38.22,14.93,21.98,1
713,10.02,9.97,25.14,31.06,30.03,6.08,20.09,65.76,21.82,36.12,100.08,124.95,180.35,38.15,14.86,21.94,1
714,9.85,10.26,24.89,30.65,30.12,6.76,20.13,66.98,21.57,35.98,100.76,124.45,180.04,38.81,15.17,20.71,1
715,9.93,9.91,24.83,30.85,29.84,5.97,20.19,66.35,21.81,36.22,99.66,124.79,179.81,38.02,14.73,22.01,1
716,9.92,10.06,24.81,31.01,30.05,6.02,20.12,66.4,21.96,36.01,99.77,125.27,180.67,37.87,15.24,22.13,1
717,9.94,10.07,25.04,31.17,29.95,5.99,19.87,66.01,22.22,35.78,100.5,125.45,180.68,38.18,15.21,22.25,1
718,10.03,9.95,25.12,30.92,30.11,6.1,20.13,66.46,21.93,35.83,100.23,124.97,179.48,37.84,14.84,22.23,1
719,10.08,10.04,24.83,30.87,30.08,6.08,19.85,66.28,22.15,36.19,100.1,124.87,180.44,37.9,14.72,21.81,1
720,8.48,8.9,23.84,29.24,28.81,4.29,18.24,64.97,20.32,34.25,98.43,124.2,178.34,37.02,13.28,21.06,0
721,9.94,10.02,25.18,30.84,29.84,6.1,20.08,65.67,21.77,35.92,100.27,125.01,179.83,38.29,15.11,21.92,1
722,10.0,10.03,25.11,30.95,29.85,6.09,20.06,66.05,22.0,36.2,99.96,124.96,179.56,38.2,14.9,21.74,1
723,10.06,9.91,25.1,31.13,30.16,5.93,19.99,66.3,21.81,36.3,99.53,124.81,179.91,38.26,14.83,22.21,1
724,10.53,11.18,25.35,32.37,30.24,6.74,21.62,65.53,23.75,37.18,100.69,126.76,181.04,39.41,15.64,23.41,0
725,9.97,9.99,24.81,31.17,30.12,6.04,19.91,66.09,21.7,36.25,99.52,125.02,179.7,37.87,15.0,21.83,1
726,8.9,8.71,24.36,29.93,29.1,5.83,18.75,64.52,20.43,35.28,99.24,123.03,179.09,37.26,14.52,20.41,0
727,8.76,8.29,23.52,30.14,28.29,5.54,18.04,65.06,20.55,35.15,99.28,124.1,179.15,36.25,13.33,21.27,0
728,10.01,9.97,24.98,30.91,30.05,5.9,19.83,66.38,22.12,36.04,99.83,124.8,180.57,38.28,14.86,21.71,1
729,10.08,10.02,24.81,30.84,30.18,5.95,19.9,66.27,22.1,35.79,99.78,125.02,179.74,38.11,15.07,21.83,1
730,10.7,10.29,26.88,31.47,30.58,6.49,20.55,64.36,23.57,37.93,101.56,126.25,180.93,40.21,15.38,22.64,0
731,9.97,10.02,24.93,31.19,30.05,6.07,20.11,65.91,22.26,36.08,100.2,124.5,180.7,38.25,15.24,21.74,1
732,10.07,10.02,25.11,31.1,30.17,6.08,19.83,66.42,21.78,35.78,99.68,124.63,180.34,37.71,14.98,22.2,1
733,9.93,9.98,24.93,30.97,30.03,5.99,19.86,66.15,21.77,35.95,100.12,125.1,179.39,37.91,14.93,21.79,1
734,9.95,9.94,25.18,31.07,30.12,6.08,19.84,65.73,22.21,36.05,99.98,125.02,179.41,37.89,14.99,21.84,1
735,10.02,10.02,25.0,30.89,30.09,5.93,20.18,66.44,22.0,36.02,99.54,124.62,180.04,37.73,15.29,21.99,1
736,9.93,10.05,24.86,30.88,30.12,5.97,19.87,65.95,21.86,36.28,100.2,125.25,180.27,38.09,14.81,22.1,1
737,11.22,11.08,25.6,32.43,30.33,6.24,21.78,64.96,22.81,37.25,101.05,126.09,181.01,39.79,15.51,23.66,0
738,9.95,10.01,25.07,30.93,29.82,6.01,20.17,66.06,22.29,36.16,100.35,125.3,180.26,37.94,14.79,22.17,1
739,9.97,10.03,24.9,31.12,29.95,5.98,20.01,66.58,22.0,35.9,100.03,125.1,180.51,38.12,15.24,22.28,1
740,9.91,10.04,25.17,30.82,30.13,6.04,20.16,65.68,22.13,36.24,100.43,125.39,179.79,37.96,15.09,22.18,1
741,9.94,10.08,25.01,31.19,29.93,5.99,20.16,65.76,21.82,35.75,100.33,125.19,180.69,38.16,14.74,21.72,1
742,10.02,9.96,25.05,30.84,29.8,6.02,20.12,65.96,22.16,36.06,99.6,124.77,180.62,38.01,15.22,21.86,1
743,8.83,9.7,24.32,30.53,28.49,4.84,18.9,65.3,21.62,35.5,98.23,123.53,178.45,37.47,13.36,20.12,0
744,9.94,9.96,25.13,31.14,29.88,6.05,20.15,65.65,22.15,35.99,99.66,124.53,180.57,38.29,15.11,22.06,1
745,9.92,9.99,24.91,30.9,30.14,6.0,20.11,65.8,21.82,35.94,99.83,124.65,180.23,38.27,15.28,22.15,1
746,9.94,9.97,25.02,30.99,30.04,6.04,19.9,66.31,22.07,36.16,100.19,125.25,180.57,37.75,14.8,22.21,1
747,10.59,8.93,25.25,30.46,30.05,5.66,18.83,65.27,22.87,34.89,99.09,123.77,181.58,37.35,15.63,22.59,0
748,9.95,9.97,24.93,31.02,30.11,6.06,19.88,66.25,21.71,35.73,100.41,125.0,179.78,37.79,15.22,22.07,1
749,9.95,10.0,24.83,31.06,29.96,6.09,20.05,65.97,21.9,36.29,99.85,125.32,180.59,37.91,15.3,22.07,1
750,9.91,9.95,25.17,30.97,29.91,5.91,20.2,66.44,22.0,35.86,99.83,124.84,179.93,37.71,15.26,21.89,1
751,10.01,9.99,25.01,31.19,29.87,6.01,19.96,66.02,22.09,36.24,99.96,124.9,179.25,37.8,15.23,21.76,1
752,10.03,10.07,24.87,31.15,29.92,6.1,20.15,65.84,21.78,36.03,100.26,125.28,180.64,38.18,15.22,22.16,1
753,10.0,10.05,24.9,31.01,29.99,5.96,20.07,65.63,22.3,35.86,99.86,125.18,180.23,37.78,14.72,21.81,1
754,10.01,10.04,25.19,30.95,29.98,5.93,20.19,66.45,21.84,36.04,100.39,125.4,180.47,37.82,15.11,21.82,1
755,10.08,10.04,24.84,31.09,30.05,6.05,19.89,66.3,22.27,36.22,99.93,124.79,180.73,37.71,15.19,21.7,1
756,10.9,10.93,26.11,31.27,30.42,7.12,21.64,64.99,22.84,36.32,101.18,126.85,180.86,39.22,15.91,23.02,0
757,10.03,9.97,24.92,30.96,29.81,6.03,19.8,65.76,22.12,35.75,99.72,125.47,179.22,37.91,15.02,21.74,1
758,9.96,10.68,24.26,31.03,28.81,6.47,20.35,65.17,21.08,36.03,101.18,126.48,179.35,37.29,13.81,22.08,1
759,9.98,10.09,25.09,30.81,29.88,6.07,19.89,66.01,22.07,35.77,100.2,125.08,179.99,37.7,15.02,21.9,1
760,10.02,10.01,24.97,31.14,30.06,6.09,20.16,66.58,21.93,36.06,99.94,124.78,179.6,37.86,15.27,22.21,1
761,10.09,10.01,25.01,30.82,29.9,5.97,19.9,65.95,21.72,36.05,99.92,124.78,180.41,37.73,15.0,21.94,1
762,9.95,10.04,25.07,31.17,29.85,5.92,20.03,66.45,22.18,35.74,100.09,125.12,180.73,37.71,15.3,21.84,1
763,11.02,10.82,25.78,32.21,30.57,7.33,22.29,64.28,22.84,36.45,101.24,125.64,181.84,38.57,16.17,22.69,0
764,9.97,9.96,25.0,30.85,29.88,5.91,20.07,66.56,22.08,35.94,100.05,125.27,179.44,37.86,14.76,22.07,1
765,10.06,9.98,25.07,31.18,29.88,6.06,20.17,66.08,22.14,35.91,100.48,125.24,180.59,38.12,15.0,21.79,1
766,9.9,10.01,24.84,31.14,30.02,6.03,20.17,66.39,21.97,35.82,99.99,124.58,179.75,37.96,14.93,21.96,1
767,9.92,9.31,25.02,30.27,29.27,6.76,20.44,66.95,22.78,36.57,99.93,124.11,180.3,37.36,14.43,22.1,1
768,9.98,9.91,24.92,31.08,30.16,5.99,19.82,66.57,22.04,36.22,100.39,124.9,180.08,38.08,14.95,21.77,1
769,9.97,9.98,25.0,30.84,29.97,6.08,20.02,66.54,22.2,35.79,99.57,124.91,180.05,38.26,15.08,21.9,1
770,10.08,9.95,25.2,31.13,30.05,6.04,20.08,65.74,21.72,35.99,100.12,124.98,180.61,38.01,15.29,21.87,1
771,10.01,10.06,25.05,31.07,29.97,5.97,19.9,66.53,21.72,35.74,100.26,124.85,179.57,37.86,14.89,21.86,1
772,11.23,10.76,25.51,31.39,31.32,7.08,22.03,64.98,22.88,37.45,100.65,126.84,180.88,40.9,16.93,22.71,0
773,10.01,9.98,25.18,31.01,30.01,5.96,20.15,65.79,21.9,35.86,99.8,124.77,179.9,37.99,15.14,22.23,1
774,10.1,9.13,25.16,31.2,30.41,5.65,19.01,64.92,22.38,37.09,98.86,125.6,178.84,38.33,13.81,22.79,1
775,9.99,10.0,24.99,31.09,30.1,6.05,19.84,66.51,21.78,35.76,99.88,124.59,180.21,37.84,15.24,21.91,1
776,10.38,8.8,25.9,30.9,30.03,6.85,19.44,65.06,21.17,36.53,100.18,124.12,179.14,37.8,14.97,22.4,1
777,9.68,8.4,24.4,30.23,29.41,5.81,19.31,64.97,20.88,34.37,98.55,123.43,178.97,37.49,13.11,20.2,0
778,10.09,9.98,25.12,31.2,29.99,5.99,19.88,66.04,22.01,36.17,100.26,125.49,179.3,38.23,15.06,21.7,1
779,9.22,10.79,24.4,29.64,29.2,6.7,20.64,66.53,21.98,36.32,99.97,125.85,181.56,36.71,15.7,22.65,0
780,9.09,9.19,23.37,30.43,28.5,5.16,18.64,65.0,20.85,34.5,99.01,123.19,178.28,37.38,14.42,21.32,0
781,10.07,9.92,25.12,31.18,30.09,5.96,20.1,65.68,22.24,35.91,100.34,124.81,179.21,37.98,15.17,21.78,1
782,11.24,10.85,26.42,32.82,31.45,7.47,21.17,64.67,22.66,36.69,100.61,126.99,181.74,40.17,16.17,22.65,0
783,8.58,9.37,24.69,29.23,28.34,5.33,18.1,65.23,21.27,34.53,99.01,123.33,178.2,37.11,14.3,20.78,0
784,8.51,8.93,24.88,31.27,29.6,5.62,18.83,65.86,22.89,35.83,98.96,124.96,179.05,38.24,13.85,22.28,0
785,10.0,9.93,25.17,30.92,29.89,5.99,19.9,65.99,21.8,35.88,100.04,125.15,179.21,38.22,14.95,21.86,1
786,10.03,9.99,24.81,31.2,29.87,6.03,19.8,66.15,22.28,36.03,100.48,125.12,180.21,37.78,14.71,21.97,1
787,10.07,10.09,24.82,31.07,29.85,6.03,19.9,66.61,22.24,36.26,99.52,124.99,180.24,38.08,14.72,21.92,1
788,9.74,9.38,23.57,30.79,28.54,4.35,19.28,64.75,20.4,35.6,98.45,124.12,178.37,36.83,13.77,20.42,0
789,8.85,9.03,25.29,31.8,29.52,5.9,20.5,64.66,21.75,35.14,98.69,126.19,178.28,38.43,14.19,23.29,1
790,9.91,10.03,24.83,31.01,30.19,6.06,19.93,66.55,21.92,36.2,99.89,125.16,180.77,37.91,14.98,21.87,1
791,10.1,8.61,25.96,29.89,30.75,6.77,20.16,64.85,21.05,35.07,98.93,125.22,178.65,38.3,14.87,21.01,1
792,9.78,9.48,24.86,31.0,30.95,5.09,19.21,65.07,21.24,35.94,100.4,125.33,178.92,39.16,15.28,21.97,0
793,10.94,10.71,24.72,29.9,30.31,6.22,19.88,64.63,21.31,35.64,98.95,125.78,179.42,37.73,16.11,20.7,0
794,10.15,8.67,24.84,31.52,29.89,6.21,19.1,66.64,21.98,35.68,98.64,124.17,180.72,38.75,15.5,22.33,0
